BUS_SERVICE,OBJECTID_1,BUS_STOP_NUM,BUS_ROOF_NUM,UNIQUE_ID,INC_CRC,FMEL_UPD_D,longitude,latitude
4,144179,76199,B04,3428,6E9BD37291F51DDE,2.02401E+13,103.94529736683316,1.3565944459015506
4,144392,76201,B05,743,A0BBB3372C7BEB12,2.02401E+13,103.9478454957531,1.3568806000666633
4,144065,97331,B05,3415,254BECCD978990C0,2.02401E+13,103.97515121488418,1.355829106383874
4,144444,97311,B03,3591,26250E3F38650741,2.02401E+13,103.9729175800546,1.3525309122980855
4,144478,76191,B03,372,C23E8938DDE34D3F,2.02401E+13,103.94480175846428,1.3568857098798686
4,144772,98311,B01,487,712CC4001A078523,2.02401E+13,103.96861580288014,1.3592801974433766
4,144842,76249,B14,3410,9C78D1E842AA9E7E,2.02401E+13,103.95938607497794,1.358273148285138
4,142919,97039,B04,5153,32CB8DE973B5D862,2.02401E+13,103.96895183296664,1.3554168044115107
4,142743,76219,B08,4592,B5916C0738AC3477,2.02401E+13,103.95095016674897,1.3564795110261232
4,142745,98309,B02,4595,71E360269F90221D,2.02401E+13,103.9646879008941,1.359941854241525
4,143078,97301,B01,3228,CD0DBCD4B2A24F85,2.02401E+13,103.96999245477241,1.351985795754171
4,143959,76231,B11,4885,AE3D38417DE09743,2.02401E+13,103.9574806026857,1.356755998097581
4,143960,76239,B12,4886,207E83DE8655B5EF,2.02401E+13,103.95764083325784,1.3565378024787818
4,145130,76241,B13,3404,46072A50D01BE11E,2.02401E+13,103.95892865372711,1.3582013830750344
4,145566,76221,B09,4666,127A3A00486DE7E2,2.02401E+13,103.9539874715118,1.3563771920254168
4,145567,76229,B10,4667,76D3B08D0D659A19,2.02401E+13,103.95340194375504,1.3561483660952136
4,145568,76211,B07,4668,4E6C3EF07D0A56A3,2.02401E+13,103.95114869711688,1.3567013956822165
4,145624,76209,B06,4056,10F2696F8BC050FB,2.02401E+13,103.94749598801947,1.3566191229620332
4,146273,97321,B01,3349,3F3744B8067C4DE4,2.02401E+13,103.97444543560617,1.3605724712049234
4,146869,97141,B01,1738,51D326FF3417FF6D,2.02401E+13,103.96794144138194,1.3522347308567195
4,147450,75009,NIL,1312,65A905EF648EADDB,2.02401E+13,103.94364418358565,1.3548018936451303
4,145885,98301,B01,4512,DDE619209C81BE5E,2.02401E+13,103.96487994627272,1.3600196749165943
4,147550,97059,B08,1876,1A16832F03169390,2.02401E+13,103.97090810401374,1.360691913267422
4,147559,97049,B06,2099,3FED63F602F3A297,2.02401E+13,103.96970714037337,1.358113585830031
4,147105,98319,B02,2378,0D3FB03AC0EF9425,2.02401E+13,103.96840599570723,1.3591888687154776
19,144179,76199,B04,3428,6E9BD37291F51DDE,2.02401E+13,103.94529736683316,1.3565944459015506
19,144254,98121,B05,1072,015E2DE2634C3CA8,2.02401E+13,103.97019396953789,1.3720208237608271
19,144392,76201,B05,743,A0BBB3372C7BEB12,2.02401E+13,103.9478454957531,1.3568806000666633
19,144405,95049,B04,561,91AFCE6E052DA20D,2.02401E+13,103.99439339452705,1.373522200404767
19,144094,99041,B21,714,88464F598803E2D2,2.02401E+13,103.98553772956656,1.3878115805635245
19,144121,99181,B01,4364,88F1D2615DB1ACC7,2.02401E+13,103.98847365123517,1.3878059235682274
19,144469,95149,B08,559,4A272B08E2E30B1E,2.02401E+13,103.99790617038437,1.3814072495164353
19,144478,76191,B03,372,C23E8938DDE34D3F,2.02401E+13,103.94480175846428,1.3568857098798686
19,144767,95089,B03,482,7B6454CF6C0CED52,2.02401E+13,103.99584356243426,1.3896066014793171
19,144842,76249,B14,3410,9C78D1E842AA9E7E,2.02401E+13,103.95938607497794,1.358273148285138
19,144860,95061,B05,3863,A599FABA3091EFCD,2.02401E+13,103.99649120976038,1.377426908845178
19,144861,95069,B06,3864,F17A791967B219D2,2.02401E+13,103.99638027923363,1.3777791079429595
19,142403,98011,B01,3684,2F2BBC046F59777A,2.02401E+13,103.96294681157374,1.362238487692047
19,142407,99189,B02,3688,D34310C8EC415865,2.02401E+13,103.98963370939249,1.3883582772978307
19,142431,98071,B13,5043,04D068C5F3C3060D,2.02401E+13,103.97839546675829,1.3797671762181556
19,142444,95081,B04,4123,5D6359E6689D95A7,2.02401E+13,103.99797039727129,1.3893960294213301
19,142688,95039,B02,3648,B7658D2D5A9292C5,2.02401E+13,103.99453699525105,1.3722558397455507
19,142743,76219,B08,4592,B5916C0738AC3477,2.02401E+13,103.95095016674897,1.3564795110261232
19,142789,95139,B10,5066,ECC0DECAAFD1B51B,2.02401E+13,103.99904974195135,1.3856659255601866
19,143307,99029,B18,1931,C145E9A0558488C8,2.02401E+13,103.97952229013093,1.386578212041022
19,143959,76231,B11,4885,AE3D38417DE09743,2.02401E+13,103.9574806026857,1.356755998097581
19,143960,76239,B12,4886,207E83DE8655B5EF,2.02401E+13,103.95764083325784,1.3565378024787818
19,143501,98061,B11,2525,39072FA0357E59B5,2.02401E+13,103.97722950138335,1.3766223616045719
19,143621,99019,B16,1975,7C245DD20EF59126,2.02401E+13,103.97844620744603,1.3836349770801957
19,143813,95131,B09,1516,DD5E8C3B7D0063FE,2.02401E+13,103.99976666378103,1.3851673635350874
19,143846,98131,B07,1837,A5604B247E7A1FE3,2.02401E+13,103.97233048601495,1.3741813788137978
19,145085,99171,B10,624,9E7035833938F989,2.02401E+13,103.9910606517939,1.3911324928466031
19,145130,76241,B13,3404,46072A50D01BE11E,2.02401E+13,103.95892865372711,1.3582013830750344
19,145566,76221,B09,4666,127A3A00486DE7E2,2.02401E+13,103.9539874715118,1.3563771920254168
19,145567,76229,B10,4667,76D3B08D0D659A19,2.02401E+13,103.95340194375504,1.3561483660952136
19,145568,76211,B07,4668,4E6C3EF07D0A56A3,2.02401E+13,103.95114869711688,1.3567013956822165
19,146129,98029,B04,992,43F082899F6A2CB0,2.02401E+13,103.96543431664988,1.3643466536239872
19,145602,98129,B10,4636,D06E3F198CC30E22,2.02401E+13,103.97043743658432,1.3720503733165303
19,146150,99011,B15,1655,22853AE10A8AD81F,2.02401E+13,103.97817070738941,1.383376795259023
19,146685,98041,B07,1799,DA8690A3FEC43EFD,2.02401E+13,103.96975099561989,1.369141926779475
19,145624,76209,B06,4056,10F2696F8BC050FB,2.02401E+13,103.94749598801947,1.3566191229620332
19,146237,98049,B08,1328,D23CF22BE03AE03F,2.02401E+13,103.97059298803828,1.3695140142094584
19,147316,99031,B19,1287,1929DDEE624DB322,2.02401E+13,103.9818735303286,1.3879331874685739
19,147318,98139,B08,1289,1C5648FCF4A2DF1F,2.02401E+13,103.97246947679017,1.3740583874453154
19,147388,95051,B03,2056,B9F06654435C510F,2.02401E+13,103.99616041771077,1.3752298644881362
19,146880,98069,B12,1749,5244223A4623BDFA,2.02401E+13,103.97672730594974,1.3756459584791512
19,147412,99161,B08,1668,7A379A7908336EDD,2.02401E+13,103.9930284029265,1.390232500071131
19,147450,75009,NIL,1312,65A905EF648EADDB,2.02401E+13,103.94364418358565,1.3548018936451303
19,145852,99049,B22,800,F58675B47DF23FC5,2.02401E+13,103.9856585866724,1.3874996288033126
19,145915,98079,B14,231,F7241053E402BEAC,2.02401E+13,103.97870826731098,1.3785205636993216
19,146489,95041,B01,3556,42BEA76BA0C8C788,2.02401E+13,103.99566227912887,1.3725683291910147
19,145997,95071,B06,593,1AA8FC8809EF6AF3,2.02401E+13,103.99520604928881,1.3899242786399777
19,147062,99039,B20,2312,E83694A4A56C4A70,2.02401E+13,103.9819235255551,1.3876653876148612
19,146032,98021,B03,4981,3596B709F4B1102E,2.02401E+13,103.96548521453838,1.3648153445093365
19,146033,98019,B02,4982,8668831844FCCABA,2.02401E+13,103.96304062559146,1.3619399789376054
19,146045,95091,B02,3916,9F6E3DD76A12C7A7,2.02401E+13,103.99968125975624,1.3872129693299673
19,146611,99021,B17,4897,E9EEC579946D8CCE,2.02401E+13,103.97922959498531,1.3867243677472103
19,146624,95079,B05,4910,41C9A8DFCF0DCB08,2.02401E+13,103.99244229439938,1.3902352457343474
19,146627,95099,B01,3978,BDC870CC68A0704D,2.02401E+13,103.99874844165238,1.3882291653900114
19,145545,95141,B07,401,E468ACAB582A0D39,2.02401E+13,103.99815690668544,1.3813544906325126
20,144316,96391,B01,75,9B5CB4AC305E09A7,2.02401E+13,103.96781700824191,1.3369247505719788
20,144052,96371,NIL,4309,A918AA5544D2E7E5,2.02401E+13,103.96651638068563,1.3343468193150847
20,144135,76069,B02,3659,CF0537B7835EF717,2.02401E+13,103.94210020615222,1.348607654888784
20,144530,96131,B02,613,E1A5B0DA66B20CD6,2.02401E+13,103.95526406251672,1.346381618270024
20,144588,76081,B04,769,DBE0C605F500706B,2.02401E+13,103.9493595819991,1.3495636439118741
20,144626,96321,B02,772,A852FC7E37E2203B,2.02401E+13,103.96530128766653,1.3321587728536413
20,144695,96139,B01,10,AF4186BF7ACCCF16,2.02401E+13,103.95590753099151,1.3464901309918995
20,142863,96411,UNK,2913,BF8116CF016E61CA,2.02401E+13,103.96379429924232,1.3378206854480112
20,142882,96449,B02,2934,FC6A22D1468E5075,2.02401E+13,103.96396757705531,1.3398282299279678
20,142883,96441,B01,2935,843EE132160A4CB7,2.02401E+13,103.96287029674568,1.3395152128364545
20,142651,96381,B02A,3767,56F58770FB0F1A85,2.02401E+13,103.96216140110725,1.3333099020203374
20,142652,96301,B01,3768,CBBA7B9BC9FAB04C,2.02401E+13,103.96171623699286,1.3345338106410398
20,142653,96309,B02,3769,204EE958623F01B8,2.02401E+13,103.96180405268488,1.3342721052920425
20,142748,96329,B01,4598,57F71CA782A06F9A,2.02401E+13,103.96509737900696,1.3320446741297804
20,142749,96341,B06,4599,F4E807F5A7490FF9,2.02401E+13,103.97033037078897,1.3329267955523239
20,143389,96201,B01,3014,3924C8D1576A63C4,2.02401E+13,103.95916921756998,1.3406700107868434
20,143390,96209,B02,3015,8792A787E80EDEF3,2.02401E+13,103.95970841598732,1.3405680494537833
20,143168,96129,B08,2041,849E7EF2AAE05E04,2.02401E+13,103.95798243424696,1.3473675839392907
20,143263,96149,B03,3288,D65FA2166F074CC9,2.02401E+13,103.95306585506655,1.3443772373912857
20,143319,96141,B04,1943,B608FF34601B644E,2.02401E+13,103.95328711031087,1.344697735240721
20,143465,76059,B04,3321,16AF5EF2CA022CC7,2.02401E+13,103.94164209835674,1.3530343342261109
20,143466,76051,B03,3322,06BAB3392177B7A6,2.02401E+13,103.94130244409511,1.3531490579339334
20,143499,96351,B01,2523,B931893FBB5EC617,2.02401E+13,103.97028410134003,1.3352633556238127
20,143850,76079,B01,1841,233EB35138E32866,2.02401E+13,103.94554859107237,1.3478718824126326
20,145102,96159,B05,641,A00E8D97D849AA1B,2.02401E+13,103.9517643218975,1.3418929549554057
20,145119,96299,B04,3393,ECAE6409FCA7E558,2.02401E+13,103.95707013465015,1.3412317247677286
20,145326,96179,B02,4808,7B3CD571FA207A01,2.02401E+13,103.95538957387842,1.342611268072396
20,145380,96291,B03,4384,97D69F92146477E5,2.02401E+13,103.95775971551566,1.3419576103962259
20,147217,96121,B07,1158,99D0BD284B1707BD,2.02401E+13,103.9577457682232,1.347266917073838
20,147221,96151,B06,2415,715F85212E936930,2.02401E+13,103.95124868520236,1.342324363
20,146176,96419,UNK,2975,EB240FCAA3F07409,2.02401E+13,103.96384426042785,1.3375591810271608
20,146311,96169,B04,678,D9840A782A136A9C,2.02401E+13,103.95345823574274,1.3423294510263846
20,146824,76071,B02,1628,95F37E566E265E72,2.02401E+13,103.94517976555748,1.348076100066012
20,146905,76089,B03,1816,83D0F57EB7840363,2.02401E+13,103.94914464304748,1.3491169144777522
20,147450,75009,NIL,1312,65A905EF648EADDB,2.02401E+13,103.94364418358565,1.3548018936451303
20,146393,96161,B03,2652,060FB9F9E2B4E68E,2.02401E+13,103.95347099860011,1.3419925970705917
20,146410,76099,B05,1699,C9E09CE6413B4DEC,2.02401E+13,103.95240094559975,1.3502430701437258
20,147017,96171,B01,1080,83CD8764B861515F,2.02401E+13,103.95585230542038,1.342252096241278
20,145968,96331,B04,4224,CCD33DF8772355FC,2.02401E+13,103.96777355788663,1.3312836011416391
20,145972,96361,NIL,4228,3338AFCF2C24012C,2.02401E+13,103.96652780100315,1.3366277302077259
20,146538,96389,B01A,2968,290E1FE2C3429CE2,2.02401E+13,103.9622364770528,1.3330662357423475
20,147070,76091,B06,2321,260C5D6F363584D6,2.02401E+13,103.95281317770315,1.3507603089415592
20,146037,76061,B01,4986,E7FF38FD9C688C31,2.02401E+13,103.94186013742609,1.3481564881062398
23,144373,60121,B11,443,A143F197458B77DA,2.02401E+13,103.86187987898721,1.3201646795448125
23,144057,75251,B02,4314,36FAE73F1FEDC829,2.02401E+13,103.92792561637013,1.3494762603553394
23,144063,60101,B09,3413,37EDB9A74D5D955A,2.02401E+13,103.86010979130697,1.3178703481622565
23,144135,76069,B02,3659,CF0537B7835EF717,2.02401E+13,103.94210020615222,1.348607654888784
23,144560,60119,B03,4265,A8899F6581BDC0F0,2.02401E+13,103.86416754957973,1.3188623110627067
23,144774,75229,B07,489,A7609CB0BE2C1471,2.02401E+13,103.93669137037199,1.3450210175549615
23,142530,60161,B15,4165,BBE60A83D8577000,2.02401E+13,103.86560897866453,1.3248145901042814
23,142595,07031,B01,4569,A400A9F8E52A08FC,2.02401E+13,103.85126240820718,1.3057720716973686
23,142707,07111,B03,5083,72230146DF5742F7,2.02401E+13,103.85322375458927,1.3088254832677166
23,142954,07329,B08,866,CD5EED2057F1618F,2.02401E+13,103.85986952884288,1.3127913369945954
23,143114,07211,B05,3265,F2932503C4889CE7,2.02401E+13,103.85627825335553,1.3130238631958329
23,143299,75249,B03,4919,02A403D807C4DF7F,2.02401E+13,103.93010037210783,1.3479621464657359
23,143327,07221,B07,1951,B5856A3E9380CB66,2.02401E+13,103.85787595891844,1.315046871784073
23,143362,60069,NIL,2576,CDCACEF3447570EC,2.02401E+13,103.87247072340524,1.3234754171992729
23,143465,76059,B04,3321,16AF5EF2CA022CC7,2.02401E+13,103.94164209835674,1.3530343342261109
23,143466,76051,B03,3322,06BAB3392177B7A6,2.02401E+13,103.94130244409511,1.3531490579339334
23,143641,60139,B05,1995,CD211A11F0F9BF38,2.02401E+13,103.86631819123976,1.3221164011347433
23,143655,60159,B07,2597,947BDF8518146343,2.02401E+13,103.86757804390012,1.3240129285151943
23,143697,60099,B01,3519,235B948C58FA121F,2.02401E+13,103.86138568641859,1.3152111060713814
23,143894,75239,B05,1822,8B5D43B84589EB6E,2.02401E+13,103.93235741524362,1.3468265070122316
23,143899,60141,B13,1827,60A565CEA4D3797E,2.02401E+13,103.86390572466689,1.3226487447763116
23,145120,60079,B01,3394,B972783A8A1AD4B6,2.02401E+13,103.8695421391337,1.3268210171222312
23,146233,75241,B04,1324,F9B3BC096006E14D,2.02401E+13,103.92982187112193,1.3484391178123756
23,147391,07529,B02,2059,2C50409E500ABA1D,2.02401E+13,103.85479299043966,1.3044597193397247
23,146859,84459,B02,1499,2617F4C12FD332EF,2.02401E+13,103.9183156500053,1.3363738084006058
23,147407,60061,NIL,1663,10F367C90807BA60,2.02401E+13,103.87406897614353,1.3226927109364024
23,147423,07319,B06,1679,D08B086E679EBEA3,2.02401E+13,103.85859664498264,1.3103235598495966
23,145819,07419,B04,5113,0CF5554CC7FD4D18,2.02401E+13,103.85612220476071,1.3065374302913766
23,147450,75009,NIL,1312,65A905EF648EADDB,2.02401E+13,103.94364418358565,1.3548018936451303
23,145836,75059,B09,5130,40C09161F134C5AA,2.02401E+13,103.94006504738985,1.3446816213959312
23,145839,75051,B10,5133,3F37B71285A1A6AF,2.02401E+13,103.94022669841517,1.3450572811974773
23,145842,84451,B01,5136,AC53A8D50EFDD6E1,2.02401E+13,103.91805207258733,1.335741888109118
23,146394,60179,B09,2653,2B3A8CD041AA325C,2.02401E+13,103.86831712328716,1.3260222983756413
23,147494,75231,B06,1565,1549C2D3AFA3423F,2.02401E+13,103.93281646174941,1.3470209208384845
23,146520,75221,B08,1253,F8161E42CC6E4E2C,2.02401E+13,103.93603640751797,1.3456666068266145
23,147072,75259,B01,2851,37FA1BB47C65935B,2.02401E+13,103.9279057,1.349146883918094
23,146037,76061,B01,4986,E7FF38FD9C688C31,2.02401E+13,103.94186013742609,1.3481564881062398
23,145516,07531,B01,4530,0F66192F7E1EA15C,2.02401E+13,103.85249322127446,1.3036928367333998
23,145541,84539,B02,4520,C71A0DEF28F46E3B,2.02401E+13,103.91851738234023,1.3350425574415234
23,145544,60071,B02,399,96078054EDFA519A,2.02401E+13,103.87039717497272,1.327077145705663
29,144156,97069,B10,153,9560A78DE867683A,2.02401E+13,103.97524984668038,1.3651055206222305
29,144179,76199,B04,3428,6E9BD37291F51DDE,2.02401E+13,103.94529736683316,1.3565944459015506
29,144352,98089,B38,4343,73983D07844ABAB2,2.02401E+13,103.96408365331651,1.361629020664992
29,144372,99101,B04,442,49A6A1EA0D970EEE,2.02401E+13,103.98170854942325,1.3914035108262959
29,144020,97119,B42,316,FB5C3FDB01553F9D,2.02401E+13,103.96990933927796,1.3634276122523168
29,144099,97201,B09,719,E534BD7A3F947B97,2.02401E+13,103.9737356302336,1.3626870939263191
29,144478,76191,B03,372,C23E8938DDE34D3F,2.02401E+13,103.94480175846428,1.3568857098798686
29,144502,97089,B02,37,B0D5F6DF6234D349,2.02401E+13,103.98005066016171,1.370823734303686
29,144529,99119,B01,612,0D82CF3F02CB0557,2.02401E+13,103.9843114425416,1.3915684248937645
29,144532,98081,B37,615,85D6EEBC40F17597,2.02401E+13,103.96445738101907,1.3618647755429254
29,144677,76391,B02,4628,4D984364CF2E678B,2.02401E+13,103.9474570012359,1.3584609930441627
29,144819,76319,B02,53,3425011F9BD2572D,2.02401E+13,103.95558607817122,1.3576571846006933
29,144842,76249,B14,3410,9C78D1E842AA9E7E,2.02401E+13,103.95938607497794,1.358273148285138
29,142421,99009,NIL,5033,D7CB7F8D5892DCAA,2.02401E+13,103.98773031177568,1.3893482568319517
29,142431,98071,B13,5043,04D068C5F3C3060D,2.02401E+13,103.97839546675829,1.3797671762181556
29,142558,76311,B01,3111,D092F7E53AEB8090,2.02401E+13,103.95532664680546,1.3579654189341044
29,142569,76341,B03,3122,3B277D9C20E64A52,2.02401E+13,103.95533902162934,1.359770271346798
29,142590,76369,B08,4564,E6259997B5ACA943,2.02401E+13,103.95026389408712,1.3602707821326874
29,142609,99109,B03,3678,D0E0FBF4069D7F88,2.02401E+13,103.98179038310215,1.3912088916652605
29,142951,76399,B01,863,E3E3C8CBA8EDAB3E,2.02401E+13,103.9472079285574,1.3585841681992143
29,143155,97079,B14,2027,5EF9EEC68851D1E1,2.02401E+13,103.97759055467291,1.3681448397467213
29,143156,97071,B13,2028,580179AD132F05FE,2.02401E+13,103.97825159846148,1.3689166820528156
29,143172,76359,B06,2045,7C261CD2519A0EE3,2.02401E+13,103.9522384342441,1.362131701872219
29,143303,97079,B14,1927,7175341B1BA76540,2.02401E+13,103.97838871960133,1.3687936597619237
29,143307,99029,B18,1931,C145E9A0558488C8,2.02401E+13,103.97952229013093,1.386578212041022
29,143959,76231,B11,4885,AE3D38417DE09743,2.02401E+13,103.9574806026857,1.356755998097581
29,143960,76239,B12,4886,207E83DE8655B5EF,2.02401E+13,103.95764083325784,1.3565378024787818
29,143501,98061,B11,2525,39072FA0357E59B5,2.02401E+13,103.97722950138335,1.3766223616045719
29,143621,99019,B16,1975,7C245DD20EF59126,2.02401E+13,103.97844620744603,1.3836349770801957
29,143847,76351,B05,1838,08278685965D09B9,2.02401E+13,103.95298930748027,1.3621401600530336
29,143881,76349,B04,2005,14A99B2564259EC8,2.02401E+13,103.95557556099526,1.3604553978463165
29,145075,97111,B41,781,774D1D9175A3F9A0,2.02401E+13,103.97039474463433,1.3633221114983074
29,145130,76241,B13,3404,46072A50D01BE11E,2.02401E+13,103.95892865372711,1.3582013830750344
29,146150,99011,B15,1655,22853AE10A8AD81F,2.02401E+13,103.97817070738941,1.383376795259023
29,146725,99079,B02,1479,E7BD423B8CEBA44D,2.02401E+13,103.97923459926777,1.3875626361179192
29,146726,99071,B01,1480,3552D2157DE73615,2.02401E+13,103.97836687367506,1.3876586633366579
29,146732,99091,B06,1089,37F2383182E76597,2.02401E+13,103.97980366376147,1.391039026556082
29,146222,99089,B07,838,A9D31E8C52742B29,2.02401E+13,103.97844081786114,1.3890525498321444
29,146774,99129,B03,4436,B0CDBD3A377A0B31,2.02401E+13,103.98672726011155,1.3900866057174452
29,145717,97101,B39,382,D0A1E1D995B698C0,2.02401E+13,103.96746444269662,1.363254413341368
29,145754,97109,B40,4728,1976279C5A512EC7,2.02401E+13,103.96694849858476,1.3627905063785057
29,146836,97061,B11,1726,B01A226608CDED98,2.02401E+13,103.97536773810931,1.3658640170036809
29,146848,99099,B05,2462,3C874DC08725EAAA,2.02401E+13,103.9798728482208,1.3907403388761923
29,146880,98069,B12,1749,5244223A4623BDFA,2.02401E+13,103.97672730594974,1.3756459584791512
29,147450,75009,NIL,1312,65A905EF648EADDB,2.02401E+13,103.94364418358565,1.3548018936451303
29,146926,97209,B10,2169,15588C91D330B271,2.02401E+13,103.97321086027299,1.3622524260456015
29,145911,99111,B02,3633,C6307B16B2498C04,2.02401E+13,103.9841872396548,1.391766437297634
29,145915,98079,B14,231,F7241053E402BEAC,2.02401E+13,103.97870826731098,1.3785205636993216
29,145993,76361,B07,589,EBCD142482AB406B,2.02401E+13,103.9502821941455,1.3599697343495185
29,147087,97081,B01,2360,CE5D7E2E6B36BE58,2.02401E+13,103.97991168464321,1.3713058361735493
29,146036,97091,B03,4985,9FD82990CBD56BE6,2.02401E+13,103.97607749208674,1.3730782469878242
29,147107,97099,B04,2380,F513687454A8150F,2.02401E+13,103.97643696903965,1.373139135008227
29,145496,99081,B08,975,6F27BE16B65560BE,2.02401E+13,103.9786677972926,1.3894409182413556
29,146611,99021,B17,4897,E9EEC579946D8CCE,2.02401E+13,103.97922959498531,1.3867243677472103
37,144179,76199,B04,3428,6E9BD37291F51DDE,2.02401E+13,103.94529736683316,1.3565944459015506
37,144392,76201,B05,743,A0BBB3372C7BEB12,2.02401E+13,103.9478454957531,1.3568806000666633
37,144943,97019,B02,4112,C9DDFEBB1127C750,2.02401E+13,103.96538028210341,1.3528905855051823
37,144478,76191,B03,372,C23E8938DDE34D3F,2.02401E+13,103.94480175846428,1.3568857098798686
37,144608,97169,B04,515,6B7DE85AE5A84B0B,2.02401E+13,103.96767827399333,1.3467259604224864
37,144842,76249,B14,3410,9C78D1E842AA9E7E,2.02401E+13,103.95938607497794,1.358273148285138
